date | value
2009-01-02 | 3
2009-01-02 | 0
2011-05-13 | 1000
2011-11-03 | 3
2011-05-13 | 2
2011-01-03 | 1
2011-09-04 | 1.2
2041-12-02 | 14
2011-01-09 | 0.234
2012-01-11 | 1
2012-02-11 | 32.5
2011-05-03 | 3
2011-01-31 | 31
2011-01-03 | 0.2342342341
2015-11-03 | 1.2
2018-03-09 | 31
2014-04-24 | 3
2019-05-22 | 3.23232323
2059-05-22 | 7.42
2028-01-11 | 0
2009-11-01 | w
"2009-11-01 | 42.42"
01-01-2024   | 1
2012-06-31 | 1
2012-06-32 | 12
2011-02-30 | 31
2011-04-31 | 31
2012-13-30 | 01
2009-01-01 | 42.42
1009-01-01 | 2
2012-01-11 | -1
2012-08-21 | -1
2012-01-11 | -999999999999999999999999999999999999999999999999999999999999999999999999999
2012-01-11 | 999999999999999999999999999999999999999999999999999999999999999999999999999
2012-01-11 | 2147483648
2011-06-13 | 1001
2001-42-42
2022-09-01c | 2147483648
2041-12-02   | 1
